0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																					
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																				
		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FL	FL	FL	FL	FL	0	0																																																																																																																			
			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FL	99	P2	99	FL	0	0	0																																																																																																																		
				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FL	99	99	99	FL	0	0	0	0																																																																																																																	
					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FL	99	99	99	FL	0	0	0	0	0																																																																																																																
						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FL	FL	FL	FL	FL	0	0	0	0	0	0																																																																																																															
							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	FL	98	0	0	0	0	0	0	0	0																																																																																																														
								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	FL	96	0	0	0	0	0	0	0	0	0																																																																																																													
									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	FL	93	0	0	0	0	0	0	0	0	0	0																																																																																																												
										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	FL	91	0	0	0	0	0	0	0	0	0	0	0																																																																																																											
											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	FL	90	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																										
												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LA	AA	AA	AA	AA	JJ	89	89	LA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA																																																																																																									
													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	92	92	92	92	JJ	89	89	LV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	LV																																																																																																								
														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	92	92	92	92	JJ	89	89	89	88.875	88.75	88.625	88.5	88.375	88.25	88.25	88.125	88	88	88	88	LL	92																																																																																																							
															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	92	92	92	92	JJ	89	89	89	88.875	88.75	88.625	88.5	88.375	88.25	88.25	88.125	88	88	88	88	LL	92	92																																																																																																						
																0	0	0	0	0	0	FL	FL	FL	FL	FL	0	0	0	0	0	LL	92	92	92	92	AJ	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AJ	88	88	LL	92	92	92																																																																																																					
																	0	0	0	0	0	FL	99	99	99	FL	98	96	93	91	90	VV	VV	VV	VV	LV	92	92	92	92	92	92	92	92	92	92	92	92	92	JJ	88	88	LL	92	92	92	92																																																																																																				
																		0	0	0	0	FL	99	S1	99	FL	FL	FL	FL	FL	FL	89	89	89	89	LL	92	92	92	92	92	92	92	92	92	92	VJ	VV	VV	VJ	88	88	LL	92	92	92	92	92																																																																																																			
																			0	0	0	FL	99	99	99	FL	98	96	93	91	90	89	89	89	89	LL	92	92	92	92	92	92	92	92	92	92	JJ	88	88	88	88	88	LL	92	92	92	92	92	92																																																																																																		
																				0	0	FL	FL	FL	FL	FL	0	0	0	0	0	LA	AJ	89	89	LL	92	92	92	92	92	92	92	92	92	92	JJ	88	88	88	88	88	LL	92	92	92	92	92	92	92																																																																																																	
																					0	0	0	0	0	0	0	0	0	0	0	LL	JJ	88.875	88.875	LL	92	92	92	92	92	92	92	92	92	92	JJ	88	88	LA	AA	AA	LA	92	92	92	92	92	92	92	92																																																																																																
																						0	0	0	0	0	0	0	0	0	0	LL	JJ	88.75	88.75	LL	92	92	92	92	92	92	92	92	92	92	JJ	88	88	LV	92	92	92	92	92	92	92	92	92	92	92	92																																																																																															
																							0	0	0	0	0	0	0	0	0	LL	JJ	88.625	88.625	LL	92	92	92	92	92	92	92	92	92	92	JJ	88	88	LV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	LL	LL	92																																																																																														
																								0	0	0	0	0	0	0	0	LL	JJ	88.5	88.5	LL	92	92	92	92	92	92	92	92	92	92	JJ	88	88	88	88	88	88	88	88	88	88	88	88	88	88	LL	92	92																																																																																													
																									0	0	0	0	0	0	0	LL	JJ	88.375	88.375	LL	92	92	92	92	92	92	92	92	92	92	JJ	88	88	88	88	88	88	88	88	88	88	88	88	88	88	LL	92	92	92																																																																																												
																										0	0	0	0	0	0	LL	JJ	88.25	88.25	LL	92	92	92	92	92	92	92	92	92	92	IH	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AJ	AJ	88	88	LV	VV	VV	LL	92																																																																																											
																											0	0	0	0	0	LL	JJ	88.25	88.25	LL	92	VJ	VV	VV	VV	VV	VV	VV	VV	VV	92	92	92	92	92	92	92	92	92	92	92	92	JJ	88	88	88	88	88	LL	92	92																																																																																										
																												0	0	0	0	LL	JJ	88.125	88.125	LL	92	JJ	88	88	88	88	88	88	88	LL	92	92	92	92	92	92	92	92	92	92	92	92	JJ	88	88	88	88	88	LL	92	92	92																																																																																									
																													0	0	0	LL	JJ	88	88	LL	92	JJ	88	88	88	88	88	88	88	LL	92	92	92	92	92	92	92	92	92	92	92	92	JJ	AA	AA	AJ	88	88	LL	92	92	92	92																																																																																								
																														0	0	LL	JJ	88	88	LV	VV	VJ	88	88	LA	AA	AJ	88	88	LL	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	JJ	87	87	VV	VV	VV	VV	VV	VV																																																																																							
																															0	LL	JJ	88	88	88	88	88	88	88	LL	92	AJ	88	88	LL	92	92	92	92	92	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	JJ	85	JJ	77	77	77	77	77	77	JJ																																																																																						
																																LL	JJ	88	88	88	88	88	88	88	LL	92	JJ	88	88	LL	92	92	92	92	JJ	79	79	79	79	79	0	0	0	0	0	LL	83	JJ	77	77	77	77	77	77	JJ	0																																																																																					
																																	AJ	AA	AA	AA	AA	AA	AA	AA	LA	92	JJ	88	88	LL	92	92	92	92	JJ	79	79	79	79	79	0	0	0	0	0	LL	81	JJ	77	77	77	77	77	77	JJ	0	0																																																																																				
